Station ,Line,Key
103 ST,1,777
116 ST-COLUMBIA,1,999
125 ST,1,999
137 ST CITY COL,1,999
157 ST ,1,999
18 ST,1,444
181 ST,1,112
191 ST,1,112
207 ST,1,112
215 ST,1,112
28 ST,1,444
50 ST,1,555
66 ST-LINCOLN,1,777
79 ST,1,777
86 ST,1,777
CANAL ST,1,222
CHRISTOPHER ST,1,222
DYCKMAN ST,1,112
HOUSTON ST,1,222
RECTOR ST,1,111
TWENTY THIRD ST,1,444
145 ST,3,110
HARLEM 148 ST,3,110
103 ST,6,888
110 ST,6,888
116 ST,6,100
23 ST,6,666
28 ST,6,666
33 ST,6,666
51 ST,6,555
68ST-HUNTER CO,6,888
96 ST,6,888
ASTOR PL,6,333
SPRING ST,6,333
34 ST-HUDSON YD,7,444
116 ST,23,110
125 ST,23,110
135 ST,23,110
CENTRAL PK N110,23,110
BOWLING GREEN,45,111
WALL ST,45,111
72 ST,123,777
96 ST,123,777
CHAMBERS ST,123,111
125 ST,456,100
86 ST,456,888
TIMES SQ-42 ST,1237ACENQRSW,555
59 ST COLUMBUS,1ABCD,777
168 ST,1AC,999
SOUTH FERRY,1RW,111
FULTON ST,ACJZ2345,111
FULTON ST,2345ACJZ,111
PARK PLACE,23ACE,111
GRD CNTRL-42 ST,4567S,555
BROOKLYN BRIDGE,456JZ,111
14 ST-UNION SQ,456LNQRW,333
59 ST,456NQRW,888
175 ST,A,112
181 ST,A,112
190 ST,A,112
DYCKMAN ST,A,112
INWOOD-207 ST,A,112
145 ST,ABCD,110
W 4 ST-WASH SQ,ABCDEFM,222
125 ST,ACBD,110
CANAL ST,ACE,222
CHAMBERS ST,ACE23,111
14 ST,ACEL,222
42 ST-PORT AUTH,ACENQRS1237W,555
103 ST,BC,777
116 ST,BC,110
135 ST,BC,110
72 ST,BC,777
81 ST-MUSEUM,BC,777
86 ST,BC,777
96 ST,BC,777
CATHEDRAL PKWY,BC,777
155 ST,BD,110
GRAND ST,BD,333
7 AV,BDE,555
47-50 STS ROCK,BDFM,555
42 ST-BRYANT PK,BDFM7,555
34 ST-HERALD SQ,BDFMNQRW,444
B'WAY-LAFAYETTE,BDFQ6,333
163 ST-AMSTERDM,C,110
23 ST,CE,444
SPRING ST,CE,222
5 AV/53 ST,EM,555
57 ST,F,555
EAST BROADWAY,F,333
LEXINGTON AV/63,F,888
DELANCEY/ESSEX,FJMZ,333
14 ST,FLM123,444
6 AV,FLM123,444
23 ST,FM,444
CANAL ST,JNQRZ6W,333
BOWERY,JZ,333
BROAD ST,JZ,111
CHAMBERS ST,JZ456,111
1 AV,L,333
3 AV,L,333
49 ST,NQRW,555
5 AV/59 ST,NQRW,888
57 ST-7 AV,NQRW,555
59 ST,NRW,888
8 ST-NYU,NRW,333
PRINCE ST,NRW,222
RECTOR ST,NRW,111
72 ST-2 AVE,Q,888
86 ST-2 AVE,Q,888
96 ST-2 AVE,Q,888
WHITEHALL S-FRY,R1W,111
CORTLANDT ST,RNW,111
