Date;dateID
03/25/2017;1
03/26/2017;2
03/27/2017;3
03/28/2017;4
03/29/2017;5
03/30/2017;6
03/31/2017;7
04/01/2017;8
04/02/2017;9
04/03/2017;10
04/04/2017;11
04/05/2017;12
04/06/2017;13
04/07/2017;14
04/08/2017;15
04/09/2017;16
04/10/2017;17
04/11/2017;18
04/12/2017;19
04/13/2017;20
04/14/2017;21
04/15/2017;22
04/16/2017;23
04/17/2017;24
04/18/2017;25
04/19/2017;26
04/20/2017;27
04/21/2017;28
04/22/2017;29
04/23/2017;30
04/24/2017;31
04/25/2017;32
04/26/2017;33
04/27/2017;34
04/28/2017;35
